sentimen,tweet,hashtags,mentions,tweet_length
2,alhamdulillah capres 02 mau sedekahkan gajinya untuk rakyat miskin disini kami korban2 gempa2 pasigala butuh bantuan pak prabowo sandiuno karniilyas rockygerung,"['#PrabowoSandi', '#02MenangAdilMakmur']","['@prabowo', '@sandiuno', '@karniilyas', '@rockygerung']",203
1,no 5 donk mang dan sayah percaya semua saudara seperjuangan 02 ikhlas hanya ingin negeri ini berubah jauh lebik baik lg dari sekarang masyarakatnya damai tenang aman kesejahteraan meningkat harga2 rendah stabil,"['#UASdifitnahKejiBalasDiTPS', '#UASdifitnahKejiBalasDiTPS']",[],277
0,divhumaspolri gakan di ladenin sama pak pulisi karna pak pulisi di gaji sama jokowi pake duit jokowi bukaan sama rakyat lapor nya nanti aja tunggu udah ganti presiden,"['#UASdifitnahKejiDanBrutal', '#UASdifitnahKejiDanBrutal', '#UASdifitnahKejiDanBrut']","['@DivHumas_Polri', '@jokowi', '@jokowi']",255
0,baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji tapi dg ranting pohon itu sendiri jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya tapi oleh pendukung dari dalam sendiri tolol dipelihara dasar ebong,[],[],289
2,memang tidak bisa kita menghendaki harga cabai sampai rp 10 000 harga bawang sampai rp 5 000 petaninya yang kasihan kata jokowi,"['#2019JokowiKyaiMaruf', '#1PeriodeLagiUntukJokowi', '#PesonaBonoSurfing']",[],294
1,presiden jokowi dan raja salman sepakat tingkatkan kerjasama ekonomi via apahabar com,[],['@apahabar'],191
0,02 kelar hidupmu bisanya cuma harga mahal turunkan solusi 0 kubu prabowo bahlull,[],[],83
2,tak akan terima gaji sbg presiden dan wapres akan disumbangkan ke negara dan fakir miskin pertama dlm sejarah bangsa indonesia debat pilpres pernyataan penutup prabowo sandiaga uno lewat youtube,[],['@YouTube'],233
2,kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana tp ini pakai pajak dr semua warga negara dan setiap lewat pun harus bayar,[],[],182
2,ada beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yg diakui integritasnya,"['#PilihOrangBaik', '#PilihYgJelasIslamnya', '#PilihYgBajuPutih']",['@jokowi'],316
2,bersatu bersama jokowi kma berbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],263
1,orang luar negeri sangat menghargai prestasi yg sudah dilakukan jokowi tetapi dinegaranya sendiri banyak yg mencaci,[],[],115
1,maaf pak rakyat tdk butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja bukan janji2 saja,['#UASdifitnahKejiDanBrutal'],[],162
1,winter is coming pidato jokowi di imf bank dunia ibaratkan ekonomi dunia seperti game of thrones game of throne presiden jokowi penting kekuatan bersama untuk kalahkan evil winter,"['#GameofThrones', '#2019TetapJokowi']",[],374
2,vidiaamanda3 17 april pilih jokowi kma dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun di zaman pak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@VidiaAmanda3'],255
1,jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi,['#01OptimisIndonesiaMaju'],[],224
0,meskipun aku di surga mungkin aku tak bahagia bahagiaku tak sempurna bila itu tanpamu gandeng tangan prabowo baru jadi ustad sudah yakin masuk surga ckckckck salah milih guru ngaji gue,"['#UAHUASUAHUAS', '#2019GantiPengajian']",[],238
0,buat anggota kpuid anda tdk layak digaji sebaiknya rasa malu diutamakan daripada isi perut gede bacot minim torehan prestasi cc jokowi,[],"['@KPU_ID', '@jokowi']",141
1,gasah mengejek program pa jokowi karena program ini jg tdk asal pasti sdh dipikirkan mateng seperti program kis dulu mari kita hargai jgn saling menghujat,[],[],164
1,monggo silahkan itu hak anda hargai juga kami yg inginkan perubahan lebih baik,[],[],84
2,beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yg diakui integritasnya,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],310
0,he he he sok bijak nih antek orba pikirkan letjen pecatan yang bilang biang kerok ekonomi indonesia adalah presiden sebelum jokowi ada jenderal sby gimana demokrat ngga beralih dukungan ke jokowi coba,[],[],207
1,presiden jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi via metrobali,[],['@metrobali'],183
1,gue kasih tau beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yg diakui integritasnya,"['#PilihOrangBaikÂ', '#PilihJelasIslamnyaÂ', '#PilihBajuPutih']",['@jokowi'],327
1,presiden jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi via bali netizen,[],['@Bali'],203
2,dalam penjelasannya kyai khmarufamin mau menjadi cawapres karna jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi indonesia membangun ekonomi dri bawah,"['#PilihOrangBaik', '#PilihYgJelasIslamnya', '#PilihYgBajuPutih']","['@KHMarufAmin_', '@jokowi']",280
2,menterinya aja berprestasi apalagi pemimpinnya bisa dikatakan era jokowi lah dimana sejumlah menterinya banyak meraih penghargaan,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],213
0,4 jokowi naikkan tax ratio drastis bisa guncang ekonomi,['#PopulerB1'],[],90
2,lalu berbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat,"['#PilihOrangBaik', '#PilihYgJelasIslamnya', '#PilihYgBajuPutih']",['@jokowi'],242
0,disitu pak jokowi hanya membahas game online bagi pemain profesional bahkan sekarang udah ada piala presiden mobile legend dan hadiahnya sangat besar jika kita mau bersaing didunia online seperti game ekonomi kita juga akan naik,[],[],233
2,jokowi khmarufamin 17 april pilih jokowi kma pada ngerti kan kalo pak jokowi belajar ngaji sejak sebelum jadi pejabat murni mendalami agama tanpa unsur pencitraan,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']","['@Jokowi', '@KHMarufAmin_']",221
2,from sandiuno repostmediaapp prabowo sandi tidak ingin gagal fokus kita ingin pembangunan besar besaran ini berdampak langsung pada ekonomi dan kesejahteraan,['#Repost'],[],281
0,alasan prabowo sandi tak terima gaji jika menang negara sedang susah,[],['@kumparannews'],244
0,he he he pikirkan letjen pecatan yang bilang biang kerok ekonomi presiden2 sebelum jokowi ada jenderal sby ada jenderal soeharto yg bintang nya sampe lima dungu,[],[],165
1,jokowi menambahkan capaian pertumbuhan itu perlu disyukuri karena indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak,['#2019JokowiKyaiMaruf'],[],258
2,janji tak ambil gaji jika menang pilpres prabowo bukti kita tulus,['#Echobox'],[],298
0,terus lah bersuara minta keadilan 1 suara begitu berarti kpuid kerja yang benar jangan makan gaji buta jangan curang,[],['@KPU_ID'],124
0,jelas jokowi lah prabowo dan sandi pecicilan selalu pesimis tanpa jalan keluar jelas ekonomi makro dan mikro saja tak tau,[],[],124
2,gue kasih tau menterinya aja berprestasi apalagi pemimpinnya bisa dikatakan era jokowi lah dimana sejumlah menterinya banyak meraih penghargaan,"['#PilihOrangBaikÂ', '#PilihJelasIslamnyaÂ', '#PilihBajuPutih']",['@jokowi'],231
1,berita terbaru prabowo saya tak ingin naikkan pajak 16 persen dalam setahun telah ada di,[],[],237
2,jokowi menjelaskan pembangunan dan merevitalisasi pasar rakyat ini menjadi dasar utama dalam pembangunan ekonomi berbasis kerakyatan dengan demikian kekuatan ekonomi indonesia bisa lebih stabil,['#2019JokowiKyaiMaruf'],[],318
1,gue kasih tau berbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat,"['#PilihOrangBaikÂ', '#PilihJelasIslamnyaÂ', '#PilihBajuPutih']",['@jokowi'],252
2,presiden jokowi bangunkan spbu pertama setelag 71 tahun di kabupaten puncak jaya papua dengan harga yang semula 50ribu/liter menjadi 6500/liter,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],311
2,bersatu menangkan jokowi brbagai upaya telah dilakukan utk membangun indonesia bebas korupsi dr pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan bg masyarakat yg mengungkap korupsi,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@Jokowi'],258
0,leres pakdhe salah satu aspek penting dari faktor ekonomi yg bertumbuh adalah stabilitas politik dalam negeri yg ditunjukkan dg adanya kepastian dan keadilan dalam penegakan hukum jadi pripun kabare pakde jokowi,['#duatahunnovel'],['@jokowi'],245
0,demikian pak prabowo walau pendidikannya tentara tapi ayahnya seorang ekonom legendaris di indonesia ya kali deh gak ngerti makro dan mikro makro dan mikro pelajaran semester 1 2 di fakultas ekonomi cmiiw ketauan jae baru belajar ekonomi kacaw,[],['@prabowo'],270
1,jangan terlalu bangga dengan jalan jika ekonomi jatuh terus nengara menag buka melihat jalanya yg megah seharusnya hasil bumi laut yg melimpah ruah terlebih dahulu baru idonesia maju menjadi pemenang,[],[],203
1,jokowi bangunkan spbu pertama setelag 71 tahun di kabupaten puncak jaya papua dengan harga yang semula 50ribu/liter menjadi 6500/liter,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],303
1,katanya jas itu harga mahal dan pakaian orang2 eropa dan amerika,[],[],65
1,prabowo janjikan harga karet dan kelapa sawit bikin senyum petani,[],[],234
1,orang ini sangat dihargai oleh raja arab saudi dia pemimpin ku,[],[],63
0,mencontoh ekonomi china bukannya sujud seperti sekarang ini,[],[],64
2,fyi gaes berbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat,"['#PilihOrangBaikÂ', '#PilihJelasIslamnyaÂ', '#PilihBajuPutih']",['@jokowi'],248
1,kepercayaan hanya diberikan pd mrk yg berpengalaman seorang jokowi memiliki wakil yg berpengalaman dibidang ekonomi,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],269
0,berapa sih gaji presiden dan wakil presiden berapa sih tunjangannya kalau kalian mengatakan tdk akan ambil sepeserpun gaji dan tunjangan baru hebat itu baru jualan klu hanya gaji itu namanya jualan basi,[],[],207
2,mungkin pak prabowo mengharap ketulusan karyawan untuk tidak menuntut gaji,[],['@prabowo'],79
1,jamu jokowi raja salman sajikan nasi mandhi warta ekonomi,[],[],157
2,dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun di zaman pak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],225
0,kami moslem kami menghormati dan menghargai umat agama laen kami cinta damai karena islam mengajarkan utk berbuat baik kpd semua manusia tanpa terkecuali dan kamipun pendukung 02 bhineka tunggal ika,['#UASdifitnahKejiDanBrutal'],[],229
2,prabowo sandiuno tidak akan ambil gaji serupiah pun jika terpilih sbg presiden ri benar kata alm gus dur orang yg paling ihlas utk indonesia adalah prabowo,"['#PrabowoSandiOKBanget', '#PrabowoSandiTakTerbendung', '#Tutup01Tusuk02']","['@prabowo', '@sandiuno']",255
1,jokowi maruf bicara pengalaman prabowo sandi janji tak ambil gaji,[],[],254
1,pilih pemimpin itu yg udh jelas banyak pencapaiannya nah ini dia 5 pencapaian ekonomi selama pemerintahan jokowi,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],192
0,gak perlu suudzon di samping umroh pak jokowi juga membahas kerja sama di bidang ekonomi dengan pemerintahan arab saudi gak usah nyinyir bro urus tuh junjunganmu yg lagi ziarah kubur moga2 aja gak nyembah kuburan,[],[],216
2,pemerintah jokowi juga menyebut masa depan ekonomi indonesia di tangan anak anak muda kreatif,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],172
2,keberhasilan tidak hanya dibidang infrastruktur jokowi jg berhasil memperbaiki ekonomi indonesia,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],257
2,jokowi maruf pemimpin indonesia beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yg diakui integritasnya,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],344
0,mahal banget buat satu beginian untuk hasilkan 1 mw harganya bisa lebih mahal dari satu power plant yang bisa produksi 10 mw,[],[],126
1,jokowi bahas ekonomi makro dan mikro ya makanan sehari2 sandiaga dari dulu itu sih fatal untuk ada et keluarlah i spot sejenis revolusi 4 0 sok futuristik padahal otaknya antik,[],[],196
0,prabowo sandi sepakat ekonomi indonesia salah arah,[],[],102
0,prabowo sandi sepakat ekonomi indonesia salah arah via kedaipenacom,[],['@KedaiPenaCom'],122
1,fyi gaes beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yg diakui integritasnya,"['#PilihOrangBaikÂ', '#PilihJelasIslamnyaÂ', '#PilihBajuPutih']",['@jokowi'],323
0,ketika wanita lain cerewat pada suaminya kamu hanya cerewet sama tukang sayur yang harganya naik jokowi,['#TerimaKasihIstriku'],['@jokowi'],125
0,kalau emang prabowo mau seenggaknya prepare untuk persona agamis kaya belajar ngaji gtgt yakin 1000 bakal menang tapi ya counter jokowi juga dengan rekrut ma ini bikin malah ga ketebak alurnya wkwkwk asli dah padahal prabowo cuma perlu jadi islami doang aslinya biar menang,[],[],275
1,pentingnya sisi industri kreatif dan inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],221
1,buka porprov jateng ganjar ingin kepala daerah contoh jokowi hargai atlet,"['#2019JokowiKyaiMaruf', '#RakyatApresiasiKinerjaJokowi']",[],201
1,awal mula mudzakir menjadi guru ngaji jokowi pada 2001 ketika itu banyak anak anak dan orang dewasa meminta diajari membaca al quran secara privat,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],201
1,khmarufamin untuk indonesia maju dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun di zaman pak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@KHMarufAmin_'],255
2,jokowi mendukung esport di indonesia mobile legend pubg free fire dll prabowo lebih memperdulikan sandang pangan harga harga turun gua udah punya pilihan skarang,[],[],167
1,vidiaamanda3 17 april pilih jokowi kma pilih pemimpin itu yg udh jelas banyak pencapaiannya nah ini dia 5 pencapaian ekonomi selama pemerintahan jokowi,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@VidiaAmanda3'],233
0,namun adlh antara masyarakat banyak yg bekerja nyata membayar pajak namun dieksploitasi dirampok hak 2 hartanya dengan sedikit org yg menetapkan aturan meraup keuntungan serta ingin selalu mengeksploitasi merampok harta negara bangsa serta menghindari pajak,[],[],271
1,dinikurnia21 17 april coblos jokowi maruf pilih pemimpin itu yg udh jelas banyak pencapaiannya nah ini dia 5 pencapaian ekonomi selama pemerintahan jokowi,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@Dinikurnia21'],237
1,khmarufamin 17 april pilih jokowi kma pemerintah jokowi juga menyebut masa depan ekonomi indonesia di tangan anak anak muda kreatif,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@KHMarufAmin_'],213
0,gak ngaruh jokowi mau ke kutub utara juga rakyat taunya barang dan harga harga murah berobat gampang percuma mau kemana aja kalau hutang negara malah nambah,[],[],161
1,terpilih jadi presiden/wapres prabowo sandi berjanji akan berikan gajinya bagi kaum miskin,[],[],122
1,demokrat minta prabowo hargai kontribusi presiden sebelumnya,[],[],88
2,jokowi kma pemimpin optimis beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yg diakui integritasnya,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],338
2,madura prabowo harga mati,[],[],50
2,prabowo harga mati titik,[],[],27
1,saat jokowi masih menjadi pengusaha mebel di solo mudzakir guru ngaji bpk jokowi pernah mendapat oleh oleh dari muridnya sepulang dari jerman yaitu korek api zippo,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],224
1,berbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],235
1,sy hargai sikap anda bang tp lgsg unfol tanpa sy tau mslah sblm ini rasanya aneh jg bang lagian yg bikin tweet mention yg brsangkutan jg kan pasti punya tujuan baik jg buat mengingatkan apa gak malah kontraproduktif kl lgsg diunfol,[],[],237
0,ya allah apa mgkn sosok seorg jokowi berani sprti itu kl capres anda sih mgkn jg tlg mardanialisera jgn fitnah presidenku sprti itu kl jokowi diberi jln itu krn beliau org baik pak dan presiden yg sangat dihargai ah sy curiga jgn2 anda mau blg ini cawapres anda,[],['@MardaniAliSera'],280
2,dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun asal kalian tau di zaman pak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan,[],['@Jokowi'],190
0,gaji mah ga seberapa yg penting cegah dan berantas korupsi mau ga cegah dan berantas korupsi kolusi nepotisme ini yg jadi pertanyaan masyarakat sekarang ini baru jokowi dan ahok yg sangat dipercaya masyarakat utk kemauan dan keberanian berantas korupsi kolusi nepotisme,[],[],276
0,bukan ga ngerti n ga nyambung ttg pertanyaan ml tp emng ml ga nyambung dg tema debat jd ga penting tuk djawab n dbahas rakyat itu yg utama no 1 kestabilan harga pangan n ketersediaannya dr petani sndr negara agraris ko sembrang import,[],[],252
2,mencoblosberamal kenapa demikian karena prabowo dan sandiuno jika terpilih insyaallah mereka akan menginfakkan gajinya buat kaum dhuafa suara kita g sia sia kawan mari kita dukung niat mereka,"['#UASdifitnahKejiBalasDiTPS', '#UASdifitnahKejiBalasDiTPS']","['@prabowo', '@sandiuno']",318
1,pilih pemimpin itu yg udh jelas banyak pencapaiannya nah ini dia 5 pencapaian ekonomi selama pemerintahan pak jokowi,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@Jokowi'],197
0,kalau dihargai masa sudah satu periode bapak jokowi tidak memberikan jabatan sama loe pikirin itu,[],[],107
1,berita terbaru naikkan rasio pajak prabowo terkenang orde baru telah ada di,[],[],211
2,gue kasih tau jokowi bangunkan spbu pertama setelag 71 tahun di kabupaten puncak jaya papua dengan harga yang semula 50ribu/liter menjadi 6500/liter,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],318
0,bener juga sih kan kata bapak aja jelas pak jokowi dapat penghargaan dimana2 di luar negeri jangan sampe segitu pak kalo mau menang kasihan rakyat,['#ApaKataKu'],[],165
1,dan pentingnya sisi industri kreatif dan inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],224
1,pak jokowi bangunkan spbu pertama setelag 71 tahun di kabupaten puncak jaya papua dengan harga yang semula 50ribu/liter menjadi 6500/liter,"['#PilihBajuPutih', '#PilihOrangBaik', '#PilihJelasIslamnya']",['@jokowi'],307
2,bersatu dukung jokowi amin khmarufamin menterinya aja berprestasi apalagi pemimpinnya bisa dikatakan era jokowi lah dimana sejumlah menterinya banyak meraih penghargaan,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']","['@KHMarufAmin_', '@jokowi']",254
0,kpu di bawah pemerintah rezim yg berkuasa skarang kenapa yg salah prabowo memangnya yg gaji kpu presiden prabowo ya,['#2019GantiPresiden'],[],211
0,denny ini sementara menghinakan dirinya sendiri dihadapan publik merasa hebat tapi sayangnya tolol kelihatan di ilc jadi ayam sayur apalagi mau sok nyentil ttg agama sdh pasti otakmu gak bakalan sampai den kamu belajar ngaji dulu lah sebelum sok mau nyentil uah,['#Nyampah'],[],282
2,presiden jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi,[],[],121
0,9 jokowi naikkan tax ratio drastis bisa guncang ekonomi,['#PopulerB1'],[],90
1,saya pilih jokowi karena saya pingin indonesia maju saya tidak pilih prabowo krna saya tdk ikhlas uang pajak tiap thn yg saya bayar untuk para koruptor diksh pensiunan,[],[],172
1,fyi gaes menterinya aja berprestasi apalagi pemimpinnya bisa dikatakan era jokowi lah dimana sejumlah menterinya banyak meraih penghargaan,"['#PilihOrangBaikÂ', '#PilihJelasIslamnyaÂ', '#PilihBajuPutih']",['@jokowi'],227
0,yg dikritik infrastruktur karena pembiayaan ke china tapi mencontoh kemandirian china yg berhasil pasti tdk nyambung juga ya pak seperti koalisi dgn demokrat tapi mengkritik kegagalan ekonomi karena kesalahan pemimpin sebelumnya,[],[],229
2,dengan mencoblos prabowo sandi anda telah beramal selama 5 tahun karena gaji prabowo sandi disumbang untuk dhuafa anak yatim dll,['#UASdifitnahKejiBalasDiTPS'],[],184
2,presiden jokowi dan raja salman bin abdulaziz al saud melakukan pertemuan bilateral keduanya sepakat akan meningkatkan kerja sama di bidang ekonomi,['#Echobox'],[],390
